RTA;nMaison;RadonProb;ConcentrationMoyenne;ConcentrationMinimale;ConcentrationMaximal
H1A;172;20;121;15;570
H2A;70;7;71;15;418
H3A;70;7;71;15;418
H4A;204;10;98;625;
H5A;204;10;98;625;
H7A;74;31;192;15;1510
H9A;37;8;93;22;370
H1B;64;39;177;15;610
H2B;98;18;125;15;740
H3B;98;18;125;15;740
H4B;44;16;100;15;947
H5B;44;16;100;15;947
H7B;13;15;111;15;240
H9B;51;16;105;15;485
H1C;56;32;163;15;677
H2C;249;12;101;15;588
H3C;11;18;116;15;481
H4C;37;8;76;15;533
H5C;37;8;76;15;533
H7C;25;28;167;15;555
H9C;78;23;155;1417;
H1E;58;22;126;574;
H2E;135;9;79;15;518
H3E;50;4;59;15;725
H4E;145;1;56;15;1473
H5E;145;1;56;15;1473
H7E;181;23;144;995;
H9E;17;24;130;26;400
H1G;41;15;125;15;918
H2G;196;5;67;15;651
H3G;196;5;67;15;651
H4G;102;4;71;15;1513
H5G;102;4;71;15;1513
H7G;100;13;115;15;488
H9G;50;18;103;15;418
H1H;44;9;113;15;474
H2H;79;4;87;15;514
H3H;10;0;91;15;181
H4H;163;3;60;15;1010
H5H;163;3;60;15;1010
H7H;91;14;103;15;374
H9H;96;23;145;15;1018
H1J;24;13;107;15;496
H2J;17;7;71;15;329
H3J;33;3;71;15;529
H4J;48;17;153;18;821
H5J;48;17;153;18;821
H7J;17;29;195;22;1043
H9J;85;25;155;15;829
H1K;228;15;118;15;966
H2K;94;9;79;15;429
H3K;46;2;54;15;318
H4K;45;22;130;15;429
H5K;45;22;130;15;429
H7K;122;10;93;15;359
H9K;40;38;236;15;1236
H1L;178;33;164;15;681
H2L;81;4;62;15;470
H3L;209;4;72;15;629
H4L;110;7;84;15;540
H5L;110;7;84;15;540
H7L;349;23;150;15;1424
H9L;349;23;150;15;1424
H1M;117;14;116;15;973
H2M;141;12;101;15;814
H3M;60;10;81;15;326
H4M;37;5;69;15;403
H5M;37;5;69;15;403
H7M;125;34;179;15;1595
H9M;125;34;179;15;1595
H1P;45;22;111;15;566
H2P;140;6;82;15;548
H3P;89;6;59;15;292
H4P;89;6;59;15;292
H5P;140;6;82;15;548
H7P;211;23;140;15;1191
H9P;211;23;140;15;1191
H1R;24;13;90;15;433
H2R;168;5;63;15;618
H3R;70;9;73;15;581
H4R;63;5;62;15;507
H5R;63;5;62;15;507
H7R;149;42;256;18;1465
H9R;115;13;104;15;614
H1S;16;0;63;15;126
H2S;140;2;51;15;736
H3S;34;3;73;15;207
H4S;34;3;73;15;207
H5S;41;10;72;15;300
H7S;41;10;72;15;300
H9S;109;13;89;15;537
H1T;202;17;124;15;873
H2T;47;4;67;15;422
H3T;42;19;114;15;407
H4T;42;19;114;15;407
H5T;47;4;67;15;422
H7T;49;2;61;15;281
H9T;49;2;61;15;281
H1V;102;9;72;15;551
H2V;136;9;88;15;607
H3V;136;9;88;15;607
H4V;42;0;65;15;166
H5V;42;0;65;15;166
H7V;27;15;109;15;511
H9V;27;15;109;15;511
H1W;128;15;100;15;511
H2W;38;0;47;15;118
H3W;47;13;105;15;781
H4W;31;3;65;15;240
H5W;31;3;65;15;240
H7W;66;23;135;15;710
H9W;203;36;200;15;1339
H1X;200;12;96;15;707
H2X;36;0;40;15;192
H3X;71;0;58;15;192
H4X;25;8;70;15;344
H5X;25;8;70;15;344
H7X;116;21;147;15;1480
H9X;98;49;360;15;3023
H1Y;218;6;81;15;562
H2Y;218;6;81;15;562
H3Y;53;4;75;15;263
H4Y;53;4;75;15;263
H5Y;98;49;360;15;3023
H7Y;106;29;230;15;2468
H9Y;106;29;230;15;2468
H1Z;19;21;148;15;629
H2Z;14;14;72;15;426
H3Z;23;17;222;15;1806
H4Z;98;49;360;15;3023
H5Z;23;17;222;15;1806
H7Z;14;14;72;15;426
H9Z;19;21;148;15;629
